order_line,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
172,Ca-New-2014-118962,05-Aug-14,09-Aug-14,Standard Class,CS-12130,OFF-PA-10000659,20.94,3,0,9.8418
307,Ca-New-2014-111003,01-Jun-14,06-Jun-14,Standard Class,CR-12625,OFF-BI-10001072,45.48,3,0,20.9208
314,Ca-New-2014-120887,27-Sep-14,03-Oct-14,Standard Class,TS-21205,FUR-FU-10001588,87.54,3,0,37.6422
482,Ca-New-2014-134677,06-Oct-14,10-Oct-14,Standard Class,XP-21865,TEC-AC-10001445,9.09,3,0,1.9089
493,Ca-New-2014-113362,14-Sep-14,19-Sep-14,Standard Class,AJ-10960,OFF-EN-10003845,11.07,3,0,5.0922
826,US-2014-102071,09-May-14,15-May-14,Standard Class,PG-18820,TEC-AC-10000109,167.97,3,0,40.3128
996,Ca-New-2014-117639,21-May-14,25-May-14,Standard Class,MW-18235,TEC-PH-10001530,617.97,3,0,173.0316
1030,Ca-New-2014-163552,11-Jul-14,15-Jul-14,Standard Class,LA-16780,TEC-PH-10003885,197.97,3,0,57.4113
1031,Ca-New-2014-163552,11-Jul-14,15-Jul-14,Standard Class,LA-16780,FUR-CH-10003379,854.94,3,0,213.735
1125,US-2014-147627,20-Jan-14,26-Jan-14,Standard Class,HL-15040,OFF-AR-10003811,6.63,3,0,1.7901
1126,US-2014-147627,20-Jan-14,26-Jan-14,Standard Class,HL-15040,OFF-EN-10001539,23.34,3,0,10.9698
1127,US-2014-147627,20-Jan-14,26-Jan-14,Standard Class,HL-15040,FUR-CH-10002331,1067.94,3,0,224.2674
1325,Ca-New-2014-107153,28-Sep-14,03-Oct-14,Standard Class,GZ-14545,OFF-ST-10001321,46.26,3,0,12.4902
1856,Ca-New-2014-114643,13-Jun-14,17-Jun-14,Standard Class,FM-14215,OFF-AR-10003631,14.52,3,0,4.7916
2060,Ca-New-2014-106439,31-Oct-14,04-Nov-14,Standard Class,GG-14650,OFF-FA-10002975,11.34,3,0,5.2164
2068,Ca-New-2014-106439,31-Oct-14,04-Nov-14,Standard Class,GG-14650,OFF-AR-10001419,12.39,3,0,3.717
2076,Ca-New-2014-131051,01-Dec-14,05-Dec-14,Standard Class,TR-21325,FUR-FU-10001861,58.2,3,0,28.518
2198,Ca-New-2014-163013,28-Nov-14,04-Dec-14,Standard Class,BF-11080,OFF-AR-10001954,14.67,3,0,3.9609
2301,Ca-New-2014-162362,14-Nov-14,18-Nov-14,Standard Class,JL-15505,OFF-BI-10000756,12.72,3,0,6.36
2479,Ca-New-2014-145212,13-Sep-14,19-Sep-14,Standard Class,DC-12850,OFF-AR-10002833,5.46,3,0,1.4742
2575,Ca-New-2014-129091,22-Nov-14,27-Nov-14,Standard Class,RA-19885,OFF-EN-10004955,16.23,3,0,7.9527
2578,Ca-New-2014-129091,22-Nov-14,27-Nov-14,Standard Class,RA-19885,OFF-AP-10002734,675.12,3,0,290.3016
2579,US-2014-155502,26-Jan-14,31-Jan-14,Standard Class,SD-20485,FUR-FU-10004587,62.82,3,0,30.7818
2581,US-2014-155502,26-Jan-14,31-Jan-14,Standard Class,SD-20485,OFF-PA-10003072,19.44,3,0,9.3312
2584,US-2014-155502,26-Jan-14,31-Jan-14,Standard Class,SD-20485,FUR-FU-10001847,12.42,3,0,4.4712
2704,Ca-New-2014-143413,24-May-14,30-May-14,Standard Class,RP-19390,OFF-PA-10002319,116.28,3,0,56.9772
2718,Ca-New-2014-100006,07-Sep-14,13-Sep-14,Standard Class,DK-13375,TEC-PH-10002075,377.97,3,0,109.6113
3006,Ca-New-2014-148761,17-May-14,21-May-14,Standard Class,PA-19060,OFF-BI-10000666,91.68,3,0,45.84
3072,Ca-New-2014-119375,17-Nov-14,22-Nov-14,Standard Class,YC-21895,FUR-FU-10002379,124.41,3,0,14.9292
3150,US-2014-109036,20-Dec-14,25-Dec-14,Standard Class,KH-16510,OFF-LA-10002043,31.05,3,0,14.904
3164,Ca-New-2014-153969,21-Sep-14,25-Sep-14,Standard Class,HF-14995,OFF-AR-10001615,59.52,3,0,15.4752
3167,Ca-New-2014-153969,21-Sep-14,25-Sep-14,Standard Class,HF-14995,OFF-PA-10002246,19.35,3,0,9.4815
3217,Ca-New-2014-114433,13-May-14,17-May-14,Standard Class,NP-18325,TEC-AC-10002800,149.97,3,0,52.4895
3270,Ca-New-2014-115980,15-Jul-14,19-Jul-14,Standard Class,VW-21775,TEC-AC-10003709,2.97,3,0,1.3068
3271,Ca-New-2014-115980,15-Jul-14,19-Jul-14,Standard Class,VW-21775,OFF-FA-10000304,6.54,3,0,2.6814
3284,Ca-New-2014-159478,30-Sep-14,06-Oct-14,Standard Class,MH-17785,FUR-FU-10000221,15.24,3,0,5.1816
3293,Ca-New-2014-106264,26-Dec-14,30-Dec-14,Standard Class,CK-12595,OFF-SU-10002189,11.91,3,0,0.1191
3401,Ca-New-2014-102274,21-Nov-14,26-Nov-14,Standard Class,DH-13075,OFF-ST-10001511,193.95,3,0,9.6975
3402,Ca-New-2014-102274,21-Nov-14,26-Nov-14,Standard Class,DH-13075,OFF-AR-10002833,5.46,3,0,1.4742
3841,Ca-New-2014-126760,26-Jul-14,02-Aug-14,Standard Class,KM-16720,TEC-AC-10004814,170.97,3,0,70.0977
3889,Ca-New-2014-100895,02-Jun-14,06-Jun-14,Standard Class,SV-20785,TEC-PH-10001425,239.97,3,0,67.1916
3926,Ca-New-2014-103940,17-Sep-14,21-Sep-14,Standard Class,BN-11515,OFF-ST-10000943,57.93,3,0,16.2204
3981,Ca-New-2014-114517,23-Dec-14,27-Dec-14,Standard Class,TH-21235,OFF-AP-10002350,56.52,3,0,15.8256
4125,Ca-New-2014-127523,11-May-14,18-May-14,Standard Class,BG-11695,OFF-AP-10004249,35.91,3,0,9.6957
4135,Ca-New-2014-128839,08-Sep-14,13-Sep-14,Standard Class,TT-21070,TEC-MA-10000029,209.97,3,0,90.2871
4178,Ca-New-2014-128846,07-Apr-14,12-Apr-14,Standard Class,RS-19765,OFF-PA-10000100,122.97,3,0,60.2553
4245,Ca-New-2014-138436,26-Mar-14,30-Mar-14,Standard Class,JD-15895,TEC-AC-10002323,66.3,3,0,8.619
4312,Ca-New-2014-125829,04-Nov-14,11-Nov-14,Standard Class,WB-21850,OFF-PA-10000223,19.44,3,0,9.3312
4377,Ca-New-2014-166954,25-Apr-14,30-Apr-14,Standard Class,BT-11305,OFF-AP-10001391,270.72,3,0,78.5088
4506,US-2014-138247,24-Dec-14,29-Dec-14,Standard Class,BF-11170,TEC-AC-10004708,62.85,3,0,13.1985
4521,Ca-New-2014-109491,20-Feb-14,26-Feb-14,Standard Class,LC-16930,TEC-AC-10001284,62.31,3,0,22.4316
4647,Ca-New-2014-146885,30-May-14,05-Jun-14,Standard Class,EB-13840,OFF-PA-10001622,13.62,3,0,6.129
4764,Ca-New-2014-112851,17-Sep-14,21-Sep-14,Standard Class,NR-18550,OFF-EN-10001453,182.94,3,0,85.9818
4829,Ca-New-2014-152562,01-Nov-14,08-Nov-14,Standard Class,JO-15145,OFF-AR-10001919,5.64,3,0,1.6356
4832,Ca-New-2014-120278,07-Nov-14,12-Nov-14,Standard Class,MS-17365,OFF-ST-10004258,36.63,3,0,9.8901
4834,Ca-New-2014-120278,07-Nov-14,12-Nov-14,Standard Class,MS-17365,OFF-BI-10004970,12.39,3,0,5.8233
5036,Ca-New-2014-169803,06-Apr-14,12-Apr-14,Standard Class,SC-20260,FUR-TA-10000688,653.55,3,0,111.1035
5071,Ca-New-2014-124478,08-Aug-14,12-Aug-14,Standard Class,MA-17560,OFF-EN-10002500,38.34,3,0,17.253
5123,Ca-New-2014-149538,04-Apr-14,08-Apr-14,Standard Class,KB-16585,OFF-PA-10003797,19.44,3,0,9.3312
5154,US-2014-121566,30-Jun-14,06-Jul-14,Standard Class,CS-11860,OFF-AR-10001026,6.6,3,0,2.904
5166,Ca-New-2014-121006,10-Nov-14,16-Nov-14,Standard Class,SC-20020,OFF-PA-10000130,12.84,3,0,5.778
5167,Ca-New-2014-121006,10-Nov-14,16-Nov-14,Standard Class,SC-20020,OFF-PA-10002479,15.84,3,0,7.128
5168,Ca-New-2014-121006,10-Nov-14,16-Nov-14,Standard Class,SC-20020,FUR-CH-10004997,563.94,3,0,112.788
5169,Ca-New-2014-121006,10-Nov-14,16-Nov-14,Standard Class,SC-20020,OFF-ST-10004950,62.94,3,0,11.9586
5170,Ca-New-2014-121006,10-Nov-14,16-Nov-14,Standard Class,SC-20020,OFF-ST-10001490,535.41,3,0,160.623
5197,Ca-New-2014-159709,10-May-14,15-May-14,Standard Class,AI-10855,OFF-EN-10001434,158.13,3,0,77.4837
5221,Ca-New-2014-140487,14-Jun-14,20-Jun-14,Standard Class,SR-20425,FUR-BO-10000711,212.94,3,0,57.4938
5237,Ca-New-2014-166744,20-Sep-14,24-Sep-14,Standard Class,DN-13690,FUR-FU-10004952,164.22,3,0,50.9082
5238,Ca-New-2014-166744,20-Sep-14,24-Sep-14,Standard Class,DN-13690,FUR-BO-10001337,362.94,3,0,36.294
5284,Ca-New-2014-133424,30-Mar-14,04-Apr-14,Standard Class,Dl-13600,OFF-ST-10002957,15.84,3,0,0
5285,Ca-New-2014-133424,30-Mar-14,04-Apr-14,Standard Class,Dl-13600,OFF-LA-10002312,44.4,3,0,22.2
5335,Ca-New-2014-103331,26-Aug-14,01-Sep-14,Standard Class,KB-16315,OFF-PA-10002160,17.34,3,0,8.4966
5449,US-2014-119081,12-Sep-14,19-Sep-14,Standard Class,TA-21385,OFF-SU-10000157,357.93,3,0,7.1586
